97,90689	91,72906
1,69649	78,02402
61,49121	25,02835
17,01992	96,71949
16,13295	10,72035
85,25484	7,19519
28,87055	38,71125
24,57996	46,63987
17,92852	87,69845
64,29610	67,55603
67,21555	6,43560
10,02234	29,05256
14,94576	33,04977
17,69070	36,65856
51,09066	48,27559
56,21336	93,95469
8,85774	9,74071
71,99649	75,90082
76,50503	81,33153
42,40123	45,94538
87,53887	54,18767
19,80259	16,83406
69,70591	54,01826
23,07317	98,49258
46,17820	43,20235
29,11930	85,44000
85,94384	55,53076
53,52275	10,89647
94,65369	46,46573
86,39242	35,08107
22,03807	2,43970
67,20560	41,15242
37,49566	28,98364
40,71982	83,82701
91,57000	29,37035
34,96148	72,91686
37,76736	92,97721
41,84864	76,86068
36,53300	35,71784
61,18104	99,77897
1,19103	73,66126
89,53104	19,66645
74,26663	65,35194
96,99520	75,04141
41,84730	28,36368
36,81679	52,70411
3,50342	21,26441
75,56540	60,21326
15,77639	83,43912
14,86069	63,27154
18,35630	42,11216
99,55279	30,41823
33,80883	28,42989
71,82308	55,25921
4,07486	92,60927
35,84450	19,92120
89,95424	71,92732
43,44144	22,49967
13,39852	44,72102
97,61516	15,97640
66,67593	98,58677
97,85126	96,41510
47,33473	51,61301
18,80166	34,20018
3,37978	91,74917
22,23431	63,66611
89,19035	41,30856
51,06947	33,67159
39,44516	11,12254
43,87246	74,50490
65,68440	82,00753
38,34841	54,96387
68,12641	39,97635
3,18509	87,53582
33,97012	96,01952
49,01629	89,30996
62,65264	41,30196
21,32828	21,58664
18,39462	24,26486
70,80824	12,10517
60,85427	87,39228
29,93394	10,39342
45,82429	68,29620
98,53005	38,95013
19,64422	52,29370
55,56689	80,80228
53,36386	61,79406
69,65361	87,43720
75,68198	81,58350
76,47814	0,19121
67,29748	48,48940
27,87250	52,88331
73,54873	78,92581
94,23237	63,81481
77,07987	68,46622
19,69597	31,21254
47,76145	73,85924
87,78789	17,77543
53,20553	79,79752
54,15933	47,19146
69,95438	60,26937
42,60705	38,32353
82,78439	67,46760
80,72896	71,22041
97,55581	19,99912
72,37531	13,19055
21,65175	16,53380
65,47996	32,88371
85,28829	71,05023
75,90711	95,65742
86,84090	51,48096
70,62473	64,46219
